01-SEP-2023,13.5
02-SEP-2023,12.8
03-SEP-2023,14.2
04-SEP-2023,13.1
05-SEP-2023,11.7
06-SEP-2023,15.3
07-SEP-2023,12.5
08-SEP-2023,14.0
09-SEP-2023,13.8
10-SEP-2023,12.9
11-SEP-2023,13.4
12-SEP-2023,12.2
13-SEP-2023,14.7
14-SEP-2023,13.0
15-SEP-2023,12.6
16-SEP-2023,15.5
17-SEP-2023,14.1
18-SEP-2023,13.7
19-SEP-2023,12.1
20-SEP-2023,14.9
21-SEP-2023,13.3
22-SEP-2023,12.4
23-SEP-2023,15.0
24-SEP-2023,13.6
25-SEP-2023,12.3
26-SEP-2023,14.6
27-SEP-2023,13.2
28-SEP-2023,12.7
29-SEP-2023,14.3
30-SEP-2023,15.2
01-OCT-2023,13.9
02-OCT-2023,12.0
03-OCT-2023,15.4
04-OCT-2023,13.5
05-OCT-2023,12.8
06-OCT-2023,14.2
07-OCT-2023,13.1
08-OCT-2023,11.7
09-OCT-2023,15.3
10-OCT-2023,12.5
11-OCT-2023,14.0
12-OCT-2023,13.8
13-OCT-2023,12.9
14-OCT-2023,13.4
15-OCT-2023,12.2
16-OCT-2023,14.7
17-OCT-2023,13.0
18-OCT-2023,12.6
19-OCT-2023,15.5
20-OCT-2023,14.1
21-OCT-2023,13.7
22-OCT-2023,12.1
23-OCT-2023,14.9
24-OCT-2023,13.3
25-OCT-2023,12.4
26-OCT-2023,15.0
27-OCT-2023,13.6
28-OCT-2023,12.3
29-OCT-2023,14.6
30-OCT-2023,13.2
31-OCT-2023,12.7
01-NOV-2023,14.3
02-NOV-2023,15.2
03-NOV-2023,13.9
04-NOV-2023,12.0
05-NOV-2023,15.4
06-NOV-2023,13.5
07-NOV-2023,12.8
08-NOV-2023,14.2
09-NOV-2023,13.1
10-NOV-2023,11.7
